[2025-09-25 21:01:04.0564521 | INF] KAPE directory: E:\Cyber Security\KAPE
[2025-09-25 21:01:04.0721195 | INF] Command line:   --tsource E:\Cyber Security\CTF\Holmes CTF\The_Enduring_Echo\C --tdest E:\Cyber Security\CTF\Holmes CTF\The_Enduring_Echo\Out --target !BasicCollection,!SANS_Triage --mdest E:\Cyber Security\CTF\Holmes CTF\The_Enduring_Echo\Output --module !!ToolSync,!EZParser --gui 
[2025-09-25 21:01:04.0721195 | INF] System info: Machine name: ZENNISKAYY, 64-bit: true, User: Admin OS: "Windows10" (10.0.19045)
[2025-09-25 21:01:04.6970007 | INF] Using Target operations
[2025-09-25 21:01:04.6970007 | INF] Found 2 targets. Expanding targets to file list...
[2025-09-25 21:01:05.3535510 | ERR] Target ApplicationEvents with Id 2da16dbf-ea47-448e-a00f-fc442c3109ba already processed. Skipping!
[2025-09-25 21:01:05.4942269 | ERR] Target EventLogs with Id d95784d9-bd1c-472b-aeef-de5d9ecc7aaa already processed. Skipping!
[2025-09-25 21:01:05.5098509 | ERR] Target PowerShellConsole with Id efa4332a-89eb-430c-ab61-006a9e6620d7 already processed. Skipping!
[2025-09-25 21:01:05.5254791 | ERR] Target USBDevicesLogs with Id 1c1d3c54-fb49-4ed1-81f7-03c6744167a1 already processed. Skipping!
[2025-09-25 21:01:05.5567252 | ERR] Target EvidenceOfExecution with Id 13ba1e33-4899-4843-adf0-c7e6a20d758a already processed. Skipping!
[2025-09-25 21:01:05.5567252 | ERR] Target FileSystem with Id 2bd97ef7-5fbf-4427-8ca2-ffb15d545b00 already processed. Skipping!
[2025-09-25 21:01:05.6036029 | ERR] Target LNKFilesAndJumpLists with Id 2e354bdc-e418-438e-8439-c21c83c64e90 already processed. Skipping!
[2025-09-25 21:01:05.9629237 | ERR] Target RecycleBin_InfoFiles with Id 6205454f-fcaa-4ace-a7b5-33c4e40b156a already processed. Skipping!
[2025-09-25 21:01:05.9629237 | ERR] Target RegistryHives with Id 76af6086-bd0b-429f-bfd7-4a8e8ff8138f already processed. Skipping!
[2025-09-25 21:01:05.9941722 | ERR] Target ApplicationEvents with Id 2da16dbf-ea47-448e-a00f-fc442c3109ba already processed. Skipping!
[2025-09-25 21:01:06.0254245 | ERR] Target ApplicationEvents with Id 2da16dbf-ea47-448e-a00f-fc442c3109ba already processed. Skipping!
[2025-09-25 21:01:06.1036194 | ERR] Target ApplicationEvents with Id 2da16dbf-ea47-448e-a00f-fc442c3109ba already processed. Skipping!
[2025-09-25 21:01:06.1347977 | ERR] Target ApplicationEvents with Id 2da16dbf-ea47-448e-a00f-fc442c3109ba already processed. Skipping!
[2025-09-25 21:01:06.1506058 | ERR] Target ScheduledTasks with Id e5dc4367-2e6b-49bf-a90a-d4c1598bbe28 already processed. Skipping!
[2025-09-25 21:01:06.1506058 | ERR] Target SRUM with Id 9858f1fc-5e22-46a0-8bfd-c821ac9b4a13 already processed. Skipping!
